,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
139,hobyo,SO,1630968991,5.3505,48.5268,25.05,86,100,10.45
140,nikolskoye,RU,1630968995,59.7035,30.7861,10.94,99,99,1.83
141,tiksi,RU,1630968997,71.6872,128.8694,4.16,84,100,5.0
142,vao,NC,1630969000,-22.6667,167.4833,20.76,76,5,3.11
143,burley,US,1630969002,42.5357,-113.7928,34.01,4,0,6.89
144,tuktoyaktuk,CA,1630969005,69.4541,-133.0374,6.0,93,90,10.29
145,cherkasskoye,RU,1630969007,52.4333,47.2167,5.38,76,20,1.74
146,nanortalik,GL,1630969010,60.1432,-45.2371,5.1,88,3,6.04
147,arraial do cabo,BR,1630969012,-22.9661,-42.0278,21.61,87,23,4.47
148,naze,JP,1630969014,28.3667,129.4833,25.51,84,98,3.02
149,jackson,US,1630968746,42.4165,-122.8345,34.4,26,1,0.0
150,sidi ali,DZ,1630969021,36.0998,0.4206,27.0,37,67,2.44
151,lardos,GR,1630969024,36.0942,28.0157,25.53,72,0,1.36
152,kavieng,PG,1630969027,-2.5744,150.7967,29.42,62,97,5.79
153,lebu,CL,1630969002,-37.6167,-73.65,9.14,87,93,2.75
154,ponta delgada,PT,1630969033,37.7333,-25.6667,21.4,83,40,2.06
155,portland,US,1630968835,45.5234,-122.6762,30.82,35,7,1.34
156,hermanus,ZA,1630969039,-34.4187,19.2345,10.5,74,12,3.91
157,dingle,PH,1630969042,10.9995,122.6711,23.75,96,100,0.36
158,berlevag,NO,1630969045,70.8578,29.0864,4.06,74,20,2.84
159,thompson,CA,1630969047,55.7435,-97.8558,20.09,60,75,2.06
160,ponta do sol,PT,1630969049,32.6667,-17.1,23.17,76,40,3.02
161,aksu,CN,1630969054,41.1231,80.2644,20.76,32,0,0.89
162,faanui,PF,1630969056,-16.4833,-151.75,26.07,74,13,6.8
163,vardo,NO,1630969059,70.3705,31.1107,4.66,69,21,5.87
164,longyearbyen,SJ,1630969047,78.2186,15.6401,2.91,65,75,6.17
165,port lincoln,AU,1630969044,-34.7333,135.8667,13.24,72,18,0.98
166,myre,NO,1630969067,69.1036,15.9492,10.95,89,98,5.77
167,kruisfontein,ZA,1630969071,-34.0033,24.7314,9.94,89,67,2.07
168,tura,IN,1630969074,25.5198,90.2201,22.66,98,100,2.2
169,beringovskiy,RU,1630969077,63.05,179.3167,6.43,58,79,3.33
170,bowen,AU,1630969079,-20.0167,148.2333,20.12,50,0,8.8
171,mahebourg,MU,1630968915,-20.4081,57.7,21.16,68,40,7.2
172,bethel,US,1630969084,41.3712,-73.414,25.51,71,28,0.45
173,lumajang,ID,1630969086,-8.1335,113.2248,23.03,93,68,0.63
174,saint-philippe,RE,1630969089,-21.3585,55.7679,19.75,77,51,6.76
175,norman wells,CA,1630969093,65.282,-126.8329,16.02,77,75,7.72
176,sao miguel do araguaia,BR,1630969095,-13.275,-50.1628,32.23,18,7,1.82
177,vanimo,PG,1630969097,-2.6741,141.3028,26.5,85,100,1.72
178,methven,NZ,1630969104,-43.6333,171.65,14.4,63,39,5.6
179,saskylakh,RU,1630969107,71.9167,114.0833,5.83,86,73,3.54
180,cochrane,CA,1630969111,51.1834,-114.4687,23.28,23,20,6.69
181,irbeyskoye,RU,1630969115,55.6428,95.4522,3.86,75,49,0.67
182,bathsheba,BB,1630969118,13.2167,-59.5167,28.34,78,20,2.06
183,provideniya,RU,1630969120,64.3833,-173.3,6.06,70,75,3.0
184,kinshasa,CD,1630969123,-4.3246,15.3215,28.18,53,20,2.06
185,hirara,JP,1630969125,24.8,125.2833,26.92,94,40,1.03
186,iqaluit,CA,1630969127,63.7506,-68.5145,9.85,66,75,6.17
187,muzhi,RU,1630969131,65.3667,64.6667,5.98,73,93,8.11
188,dongning,CN,1630969135,44.0622,131.1207,16.39,78,100,0.6
189,hovd,MN,1630969138,48.0056,91.6419,14.81,41,39,3.27
190,mitsamiouli,KM,1630969141,-11.3847,43.2844,24.08,72,25,0.59
191,awbari,LY,1630969144,26.5921,12.7805,28.79,36,23,6.32
192,hounde,BF,1630969146,11.5,-3.5167,25.72,67,43,2.07
193,east london,ZA,1630969148,-33.0153,27.9116,14.51,78,100,4.62
194,ilulissat,GL,1630969004,69.2167,-51.1,2.06,70,100,2.08
195,laem sing,TH,1630969155,12.4816,102.0738,24.99,90,87,2.14
196,kidal,ML,1630969157,18.4411,1.4078,33.92,12,5,3.05
197,sorland,NO,1630969159,67.667,12.6934,11.72,87,100,8.96
198,ordzhonikidze,KZ,1630969161,52.4411,61.7408,9.75,79,100,3.34
199,bredasdorp,ZA,1630969162,-34.5322,20.0403,5.71,93,1,0.0
200,nyurba,RU,1630969165,63.2842,118.3319,5.79,82,86,2.55
201,pangoa,PE,1630969169,-12.1167,-73.0,22.28,83,66,1.02
202,chokurdakh,RU,1630969172,70.6333,147.9167,1.81,71,100,7.74
203,san quintin,MX,1630969177,30.4833,-115.95,24.52,72,5,3.71
204,karratha,AU,1630969179,-20.7377,116.8463,19.51,19,14,8.13
205,pahrump,US,1630969181,36.2083,-115.9839,40.47,10,1,2.24
206,mudanjiang,CN,1630969184,44.5833,129.6,15.18,89,100,3.28
207,broome,US,1630969187,42.2506,-75.833,20.11,77,7,0.89
208,monrovia,LR,1630969010,6.3005,-10.7969,24.53,89,98,2.83
209,touros,BR,1630969193,-5.1989,-35.4608,25.5,74,34,6.72
